Wall time,Step,Value
1461441170.279235,3,0.07999999821186066
1461441172.109881,5,0.12999999523162842
1461441174.950102,8,0.15000000596046448
1461441175.879534,9,0.12999999523162842
1461441178.638601,12,0.20000000298023224
1461441183.53699,17,0.30000001192092896
1461441185.510003,19,0.25999999046325684
1461441187.676195,21,0.2800000011920929
1461441190.459119,24,0.25999999046325684
1461441191.387448,25,0.33000001311302185
1461441193.35679,27,0.28999999165534973
1461441195.272071,29,0.46000000834465027
1461441199.935092,34,0.49000000953674316
1461441200.905391,35,0.5600000023841858
1461441201.825015,36,0.47999998927116394
1461441202.740173,37,0.4300000071525574
1461441203.712093,38,0.46000000834465027
1461441205.870176,40,0.550000011920929
1461441206.807016,41,0.6000000238418579
1461441207.735103,42,0.4699999988079071
1461441210.633525,45,0.5
1461441211.62385,46,0.550000011920929
1461441213.642635,48,0.6700000166893005
1461441214.601544,49,0.6499999761581421
1461441216.495403,51,0.6399999856948853
1461441218.376797,53,0.6399999856948853
1461441219.36387,54,0.6499999761581421
1461441221.204435,56,0.7099999785423279
1461441222.147831,57,0.6000000238418579
1461441223.11839,58,0.75
1461441224.051697,59,0.7300000190734863
1461441234.708703,70,0.6899999976158142
1461441235.613741,71,0.6800000071525574
1461441237.555869,73,0.5799999833106995
1461441242.018141,77,0.6899999976158142
1461441247.178654,81,0.7300000190734863
1461441248.101596,82,0.6499999761581421
1461441249.139624,83,0.7300000190734863
1461441254.102139,87,0.6800000071525574
1461441256.884135,90,0.6899999976158142
1461441257.782205,91,0.7400000095367432
1461441261.525814,95,0.6399999856948853
1461441264.256655,98,0.6600000262260437
1461441267.384892,101,0.6700000166893005
1461441268.326603,102,0.7300000190734863
1461441271.042378,105,0.7400000095367432
1461441271.97061,106,0.7799999713897705
1461441272.880617,107,0.6399999856948853
1461441273.812685,108,0.6899999976158142
1461441279.350696,114,0.7400000095367432
1461441281.148362,116,0.7599999904632568
1461441287.120199,122,0.7799999713897705
1461441288.060924,123,0.7599999904632568
1461441288.990675,124,0.7300000190734863
1461441290.866213,126,0.699999988079071
1461441293.72125,129,0.8700000047683716
1461441296.552475,132,0.8199999928474426
1461441297.48516,133,0.8299999833106995
1461441299.327484,135,0.800000011920929
1461441302.122738,138,0.8999999761581421
1461441303.058564,139,0.8500000238418579
1461441304.351263,140,0.7099999785423279
1461441306.29155,142,0.8199999928474426
1461441310.511945,146,0.8700000047683716
1461441311.579162,147,0.8799999952316284
1461441319.084365,155,0.8500000238418579
1461441322.924667,159,0.7099999785423279
1461441324.382188,160,0.8700000047683716
1461441325.363077,161,0.8100000023841858
1461441330.421539,166,0.800000011920929
1461441331.471356,167,0.8899999856948853
1461441334.576654,170,0.8799999952316284
1461441338.693325,174,0.6700000166893005
1461441339.672184,175,0.6600000262260437
1461441340.619156,176,0.7699999809265137
1461441345.189348,180,0.8399999737739563
1461441346.392731,181,0.8100000023841858
1461441347.444711,182,0.8500000238418579
1461441349.330895,184,0.8500000238418579
1461441350.248337,185,0.8600000143051147
1461441351.179601,186,0.8299999833106995
1461441352.285539,187,0.8399999737739563
1461441353.287517,188,0.7900000214576721
1461441354.232938,189,0.8299999833106995
1461441357.042759,192,0.800000011920929
1461441358.160042,193,0.8700000047683716
1461441359.31984,194,0.8199999928474426
1461441363.244183,198,0.8199999928474426
1461441364.196049,199,0.8399999737739563
1461441365.4215,200,0.8500000238418579
1461441366.327701,201,0.8199999928474426
1461441369.715224,204,0.8299999833106995
1461441370.63226,205,0.8899999856948853
1461441372.461551,207,0.9200000166893005
1461441375.238775,210,0.8700000047683716
1461441376.213339,211,0.8999999761581421
1461441381.163446,215,0.8399999737739563
1461441385.868335,218,0.8399999737739563
1461441387.337049,219,0.8600000143051147
1461441388.827183,220,0.8700000047683716
1461441390.122233,221,0.75
1461441391.385428,222,0.8299999833106995
1461441392.368598,223,0.8600000143051147
1461441393.427558,224,0.7900000214576721
1461441396.619656,227,0.800000011920929
1461441398.622035,229,0.8500000238418579
1461441399.687944,230,0.9300000071525574
1461441403.365946,233,0.8600000143051147
1461441405.533941,235,0.8799999952316284
1461441406.746653,236,0.7599999904632568
1461441407.707051,237,0.8199999928474426
1461441408.769587,238,0.8899999856948853
1461441412.123847,241,0.7699999809265137
1461441413.080659,242,0.8299999833106995
1461441416.003176,245,0.8199999928474426
1461441417.968895,247,0.800000011920929
1461441424.221446,251,0.7300000190734863
1461441426.878145,253,0.8700000047683716
1461441435.839182,260,0.8199999928474426
1461441438.361103,262,0.8299999833106995
1461441440.509519,264,0.8500000238418579
1461441450.346001,274,0.8199999928474426
1461441451.288261,275,0.8199999928474426
1461441453.331081,277,0.8799999952316284
1461441454.255095,278,0.9200000166893005
1461441456.424196,280,0.8799999952316284
1461441457.457836,281,0.8299999833106995
1461441461.329805,284,0.8399999737739563
1461441462.341536,285,0.8799999952316284
1461441464.222597,287,0.8799999952316284
1461441465.155125,288,0.8999999761581421
1461441467.953349,291,0.8600000143051147
1461441468.877296,292,0.9399999976158142
1461441469.812671,293,0.9100000262260437
1461441470.748909,294,0.8299999833106995
1461441471.707448,295,0.8100000023841858
1461441472.635995,296,0.800000011920929
1461441473.568681,297,0.8399999737739563
1461441474.499148,298,0.8299999833106995
1461441475.415151,299,0.8799999952316284
1461441476.649641,300,0.8899999856948853
1461441478.982563,302,0.8700000047683716
1461441481.597484,304,0.8299999833106995
1461441489.329572,310,0.7400000095367432
1461441491.991248,312,0.9100000262260437
1461441493.77955,313,0.8600000143051147
1461441495.392006,314,0.8899999856948853
1461441497.620725,316,0.8999999761581421
1461441500.605817,319,0.9100000262260437
1461441503.70872,322,0.8899999856948853
1461441506.504921,325,0.8399999737739563
1461441509.488343,328,0.8500000238418579
1461441511.383451,330,0.8899999856948853
1461441512.335532,331,0.9100000262260437
1461441515.565521,334,0.9100000262260437
1461441516.502207,335,0.8500000238418579
1461441519.275236,338,0.9599999785423279
1461441520.193248,339,0.9399999976158142
1461441521.451072,340,0.9599999785423279
1461441522.370572,341,0.8899999856948853
1461441523.281266,342,0.8600000143051147
1461441524.232499,343,0.8100000023841858
1461441525.270077,344,0.8399999737739563
1461441526.21719,345,0.9100000262260437
1461441528.081911,347,0.8100000023841858
1461441529.017038,348,0.800000011920929
1461441530.839685,350,0.8399999737739563
1461441534.519535,354,0.8600000143051147
1461441536.680632,356,0.9100000262260437
1461441537.610277,357,0.8700000047683716
1461441539.46931,359,0.9100000262260437
1461441541.504621,360,0.9100000262260437
1461441543.826259,362,0.8700000047683716
1461441545.703091,364,0.8100000023841858
1461441547.568013,366,0.8999999761581421
1461441548.477912,367,0.8899999856948853
1461441549.390539,368,0.8899999856948853
1461441550.325228,369,0.8999999761581421
1461441552.177325,371,0.8100000023841858
1461441555.912705,375,0.8899999856948853
1461441559.596713,379,0.8100000023841858
1461441560.83831,380,0.8399999737739563
1461441562.676157,382,0.9300000071525574
1461441563.606309,383,0.949999988079071
1461441564.515431,384,0.8999999761581421
1461441565.443595,385,0.8700000047683716
1461441566.350041,386,0.8999999761581421
1461441567.318729,387,0.8899999856948853
1461441571.95104,392,0.8799999952316284
1461441573.778885,394,0.8700000047683716
1461441576.515272,397,0.8799999952316284
1461441577.448123,398,0.8600000143051147
1461441579.588188,400,0.8600000143051147
1461441580.515373,401,0.9200000166893005
1461441581.412542,402,0.8899999856948853
1461441583.28157,404,0.8100000023841858
1461441584.189765,405,0.8899999856948853
1461441585.096862,406,0.8999999761581421
1461441587.828201,409,0.8899999856948853
1461441589.682647,411,0.8999999761581421
1461441593.538803,415,0.9399999976158142
1461441594.619327,416,0.8700000047683716
1461441596.479368,418,0.9100000262260437
1461441600.598528,422,0.8600000143051147
1461441602.460242,424,0.9100000262260437
1461441603.362474,425,0.9300000071525574
1461441604.305956,426,0.8899999856948853
1461441607.323126,429,0.8700000047683716
1461441610.036711,431,0.8999999761581421
1461441612.169923,433,0.8700000047683716
1461441613.267739,434,0.949999988079071
1461441614.491279,435,0.9399999976158142
1461441615.507894,436,0.9100000262260437
1461441617.366998,438,0.9700000286102295
1461441619.575796,440,0.8799999952316284
1461441622.326884,443,0.949999988079071
1461441623.26461,444,0.8899999856948853
1461441625.147225,446,0.8199999928474426
1461441626.048064,447,0.9200000166893005
1461441627.869948,449,0.8799999952316284
1461441630.715902,452,0.8399999737739563
1461441632.543329,454,0.8399999737739563
1461441633.450004,455,0.8899999856948853
1461441634.357805,456,0.9300000071525574
1461441635.336245,457,0.9399999976158142
1461441638.547585,460,0.9399999976158142
1461441643.329382,465,0.9599999785423279
1461441644.286132,466,0.9100000262260437
1461441645.218193,467,0.9399999976158142
1461441648.990058,471,0.8600000143051147
1461441649.902236,472,0.8799999952316284
1461441650.851051,473,0.9100000262260437
1461441653.619274,476,0.9200000166893005
1461441654.546304,477,0.9200000166893005
1461441655.476535,478,0.8500000238418579
1461441658.571709,481,0.9100000262260437
1461441659.500261,482,0.9599999785423279
1461441660.423505,483,0.949999988079071
1461441663.272269,486,0.8999999761581421
1461441664.278349,487,0.9200000166893005
1461441665.323665,488,0.9300000071525574
1461441667.221292,490,0.8999999761581421
1461441669.130848,492,0.9300000071525574
1461441670.04961,493,0.9300000071525574
1461441672.761259,496,0.9399999976158142
1461441674.624343,498,0.9300000071525574
